"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,600,"B10",23.5,8,0.183730556228042
-56.2,-0.1364,2,0.2,200,800,"B11",23.5,8,0.21657796521623
-56.2,-0.1364,2,0.2,200,1000,"B12",23.5,8,0.203172305994425
-56.2,-0.1364,2,0.2,200,0,"A1",24,9,1.91447116900773
-56.2,-0.1364,2,0.2,200,1,"A2",24,9,1.93989530005279
-56.2,-0.1364,2,0.2,200,10,"A3",24,9,1.86126061269153
-56.2,-0.1364,2,0.2,200,50,"A4",24,9,1.54947732739815
-56.2,-0.1364,2,0.2,200,100,"A5",24,9,1.13050954585658
-56.2,-0.1364,2,0.2,200,150,"A6",24,9,0.673178404644429
-56.2,-0.1364,2,0.2,200,200,"A7",24,9,0.231139185037867
-56.2,-0.1364,2,0.2,200,250,"A8",24,9,0.217754087236407
-56.2,-0.1364,2,0.2,200,400,"A9",24,9,0.107350749304752
-56.2,-0.1364,2,0.2,200,600,"A10",24,9,0.220140495955349
-56.2,-0.1364,2,0.2,200,800,"A11",24,9,0.188885320457415
-56.2,-0.1364,2,0.2,200,1000,"A12",24,9,0.225213186941197
-56.2,-0.1364,2,0.2,200,0,"B1",24,9,1.96053168463657
-56.2,-0.1364,2,0.2,200,1,"B2",24,9,1.95018847202657
-56.2,-0.1364,2,0.2,200,10,"B3",24,9,1.91980564260193
-56.2,-0.1364,2,0.2,200,50,"B4",24,9,1.57479847314345
-56.2,-0.1364,2,0.2,200,100,"B5",24,9,1.08086351880479
-56.2,-0.1364,2,0.2,200,150,"B6",24,9,0.624639845808756
-56.2,-0.1364,2,0.2,200,200,"B7",24,9,0.235065305969843
-56.2,-0.1364,2,0.2,200,250,"B8",24,9,0.202427246894693
-56.2,-0.1364,2,0.2,200,400,"B9",24,9,0.150595824273394
-56.2,-0.1364,2,0.2,200,600,"B10",24,9,0.214705163133125
-56.2,-0.1364,2,0.2,200,800,"B11",24,9,0.305101626222172
-56.2,-0.1364,2,0.2,200,1000,"B12",24,9,0.0997273473725195
-56.2,-0.1364,2,0.2,200,0,"B1",24,9,2.03019940770496
-56.2,-0.1364,2,0.2,200,1,"B2",24,9,1.94936362242559
-56.2,-0.1364,2,0.2,200,10,"B3",24,9,1.95131535639151
-56.2,-0.1364,2,0.2,200,50,"B4",24,9,1.60834155272429
-56.2,-0.1364,2,0.2,200,100,"B5",24,9,1.158469292533
-56.2,-0.1364,2,0.2,200,150,"B6",24,9,0.68623159453867
-56.2,-0.1364,2,0.2,200,200,"B7",24,9,0.171232729269975
-56.2,-0.1364,2,0.2,200,250,"B8",24,9,0.242151411241611
-56.2,-0.1364,2,0.2,200,400,"B9",24,9,0.246950538783172
-56.2,-0.1364,2,0.2,200,600,"B10",24,9,0.15269224710822
-56.2,-0.1364,2,0.2,200,800,"B11",24,9,0.23054907151346
-56.2,-0.1364,2,0.2,200,1000,"B12",24,9,0.125032527975355
-56.2,-0.1364,2,0.2,200,0,"A1",24.5,10,1.9471455959856
-56.2,-0.1364,2,0.2,200,1,"A2",24.5,10,2.05266261997105
-56.2,-0.1364,2,0.2,200,10,"A3",24.5,10,1.97702409867042
-56.2,-0.1364,2,0.2,200,50,"A4",24.5,10,1.47564996938208
-56.2,-0.1364,2,0.2,200,100,"A5",24.5,10,1.105805173563
-56.2,-0.1364,2,0.2,200,150,"A6",24.5,10,0.501452778332336
-56.2,-0.1364,2,0.2,200,200,"A7",24.5,10,0.184065042601188
-56.2,-0.1364,2,0.2,200,250,"A8",24.5,10,0.258621408603302
-56.2,-0.1364,2,0.2,200,400,"A9",24.5,10,0.15905553073315
-56.2,-0.1364,2,0.2,200,600,"A10",24.5,10,0.156589056550175
-56.2,-0.1364,2,0.2,200,800,"A11",24.5,10,0.262810531714311
-56.2,-0.1364,2,0.2,200,1000,"A12",24.5,10,0.182215076873209
