#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
   2.40327      -1.90915e+06 2.91584e+06          515753    10387.2
   2.41138      1.69797e+06 2.89607e+06          508030    10235.1
   2.41949      5.44005e+06 2.92427e+06          500306      10083
   2.42761      -1.50709e+06 2.93364e+06          492573    9930.69
   2.43572      3.91886e+06 2.83227e+06          484850    9778.59
   2.44384      1.00126e+06 2.93931e+06          477117    9626.31
   2.45195      2.06326e+06  2.884e+06          469394    9474.21
   2.46006          101000 3.02102e+06          461671    9322.11
   2.46818      -1.34117e+06 2.79082e+06          453938    9169.83
   2.47629      -4.83611e+06 2.82468e+06          446215    9017.73
    2.4844      1.55917e+06 2.84398e+06          438491    8865.63
   2.49252      4.4393e+06 2.84805e+06          430758    8713.34
   2.50063          475868 2.93441e+06          423211    8561.28
   2.50875         -489192 2.87249e+06          417750    8409.41
   2.51686      2.42613e+06 2.89893e+06          412295    8257.73
   2.52497      5.30255e+06 2.7985e+06          406840    8106.05
   2.53309      1.88872e+06 2.90479e+06          401379    7954.18
    2.5412      -2.60803e+06 2.94109e+06          395924     7802.5
   2.54931          110723 2.90478e+06          390470    7650.82
   2.55743      2.2177e+06 2.93058e+06          385008    7498.96
   2.56554      2.00301e+06 2.79567e+06          379553    7347.28
   2.57366      1.39085e+06 2.95453e+06          374092    7195.41
   2.58177          563391 2.82356e+06          368637    7043.73
   2.58988      -1.02772e+06 2.9197e+06          363183    6892.05
     2.598      1.23885e+06 2.86778e+06          357721    6740.19
   2.60611      -5.76767e+06 2.8393e+06          353513    6651.89
   2.61422      1.05078e+06 2.78395e+06          349714    6584.35
   2.62234      -1.52956e+06 2.80786e+06          345909    6516.72
   2.63045          381521 2.87395e+06          342109    6449.17
   2.63857      -2.14544e+06 2.77481e+06          338305    6381.54
   2.64668      1.69895e+06 2.81895e+06          334505       6314
   2.65479      2.31652e+06 2.87548e+06          330705    6246.45
   2.66291      1.64295e+06 2.80547e+06          326901    6178.82
   2.67102      -1.14314e+06 2.93438e+06          323101    6111.28
   2.67913          311553 2.86089e+06          319301    6043.73
   2.68725      5.74001e+06 2.83527e+06          315497     5976.1
   2.69536      1.9356e+06 2.84443e+06          311697    5908.56
   2.70347      -1.86831e+06 2.90724e+06          308400    5850.05
   2.71159      3.17969e+06 2.84047e+06          305771    5803.59
    2.7197      2.88217e+06 2.86632e+06          303145    5757.18
   2.72782      3.45107e+06 2.8981e+06          300517    5710.72
   2.73593      -2.27897e+06 2.79259e+06          297891    5664.31
   2.74404      2.53741e+06 2.86989e+06          295265     5617.9
   2.75216         -437221 2.85892e+06          292637    5571.44
   2.76027      -3.45388e+06 2.84369e+06          290011    5525.03
   2.76838      1.07383e+06 2.88685e+06          287386    5478.63
    2.7765      -4.50378e+06 2.81176e+06          284757    5432.16
   2.78461      2.30052e+06 2.97013e+06          282131    5385.75
   2.79273      4.52447e+06 2.89746e+06          279503    5339.29
   2.80084         -717970 2.86447e+06          276955    5292.91
   2.80895      -1.9011e+06 2.78016e+06          275081    5246.78
   2.81707      -3.95109e+06 2.8565e+06          273204    5200.59
   2.82518         -769293 2.79109e+06          271330    5154.46
   2.83329      1.7279e+06 2.90525e+06          269456    5108.33
   2.84141       3.289e+06 2.81489e+06          267579    5062.14
   2.84952         -538501 2.84702e+06          265705    5016.01
   2.85764      3.72554e+06 2.87342e+06          263828    4969.82
   2.86575        -17380.2 2.79028e+06          261954    4923.68
   2.87386      4.60059e+06 2.77474e+06          260080    4877.55
   2.88198      1.39819e+06 2.81076e+06          258203    4831.36
   2.89009      -1.26605e+06 2.77053e+06          256329    4785.23
    2.8982      -2.49799e+06 2.78849e+06          254455     4739.1
   2.90632          691505 2.76648e+06          252900    4689.38
   2.91443      -3.96641e+06 2.79188e+06          251439    4638.73
   2.92255      -1.29412e+06 2.81007e+06          249976    4588.01
   2.93066         -425334 2.74636e+06          248515    4537.35
   2.93877          851981 2.77062e+06          247054    4486.69
   2.94689         -175552 2.79903e+06          245591    4435.97
     2.955          321428 2.77398e+06          244130    4385.31
   2.96311          896769 2.8163e+06          242668    4334.66
   2.97123      -3.58612e+06 2.82457e+06          241205    4283.94
   2.97934      2.90886e+06 2.84407e+06          239744    4233.28
   2.98746         -561453 2.80961e+06          238281    4182.56
   2.99557      2.98823e+06 2.74913e+06          236820     4131.9
   3.00368         -494751 2.73757e+06          235449    4082.78
    3.0118      -1.81294e+06 2.65264e+06          234185    4035.45
   3.01991          338560 2.65951e+06          232922    3988.17
   3.02802      1.24255e+06 2.67674e+06          231660     3940.9
   3.03614      -1.86282e+06 2.66233e+06          230395    3893.57
   3.04425      4.3863e+06 2.78079e+06          229133     3846.3
   3.05237      2.82212e+06 2.74523e+06          227869    3798.97
   3.06048         -301644 2.61036e+06          226606    3751.69
   3.06859      5.25282e+06 2.6498e+06          225343    3704.42
   3.07671      -1.5388e+06 2.78971e+06          224079    3657.09
   3.08482      -3.37346e+06 2.74986e+06          222816    3609.81
   3.09293         -492090 2.67786e+06          221554    3562.54
   3.10105      2.52319e+06 2.73005e+06          220303    3516.78
   3.10916      -4.50088e+06 2.74388e+06          219143    3481.63
   3.11728      -3.25005e+06 2.7851e+06          217982    3446.44
   3.12539      1.80513e+06 2.75215e+06          216822     3411.3
    3.1335      -4.21039e+06 2.67759e+06          215663    3376.15
   3.14162      1.76862e+06 2.76977e+06          214502    3340.96
   3.14973          158205 2.72092e+06          213342    3305.82
   3.15784          902264 2.66784e+06          212182    3270.67
   3.16596      -2.34888e+06 2.66816e+06          211021    3235.48
   3.17407      1.9353e+06 2.76048e+06          209862    3200.33
   3.18219      -2.09928e+06 2.63825e+06          208701    3165.14
    3.1903          240395 2.70483e+06          207541       3130
   3.19841          626004 2.71887e+06          206381    3094.85
   3.20653      -1.4461e+06 2.76059e+06          205286    3072.06
   3.21464      -2.10245e+06 2.63854e+06          204208    3052.31
   3.22275      4.56228e+06 2.73849e+06          203130    3032.57
   3.23087      -3.84738e+06 2.60197e+06          202051    3012.79
   3.23898         -751485 2.78438e+06          200973    2993.05
   3.24709      4.82459e+06 2.67748e+06          199895     2973.3
   3.25521      -1.28175e+06 2.73212e+06          198816    2953.53
   3.26332          739095 2.73689e+06          197738    2933.78
   3.27144      -3.3848e+06 2.67532e+06          196659    2914.01
   3.27955      5.49402e+06 2.73877e+06          195581    2894.26
   3.28766         -270570 2.72757e+06          194503    2874.52
   3.29578      -2.4358e+06 2.72448e+06          193424    2854.75
   3.30389      -2.90236e+06 2.67567e+06          192389    2841.75
     3.312      1.62872e+06 2.65619e+06          191400    2836.07
   3.32012      2.37405e+06 2.66991e+06          190410    2830.39
   3.32823      1.57938e+06 2.60628e+06          189422    2824.71
   3.33635      -1.01038e+06 2.66398e+06          188432    2819.03
   3.34446      6.7358e+06 2.6407e+06          187443    2813.35
   3.35257      2.05409e+06 2.68058e+06          186455    2807.68
   3.36069      -3.11816e+06 2.60409e+06          185465    2801.99
    3.3688         -237116 2.71866e+06          184476    2796.32
   3.37691          399908 2.60077e+06          183488    2790.64
   3.38503      -3.90983e+06 2.69658e+06          182498    2784.96
   3.39314      -1.6608e+06 2.68587e+06          181509    2779.28
   3.40126         -985502 2.78868e+06          180536    2775.32
