"Well","A","B","Tm","invT","Helix","Condition"
"C3",193.94986625073,600,48.0633009506206,0.00311319611311403,"G","NTPCM"
"C4",193.94986625073,400,47.535270578048,0.00311832220481302,"G","NTPCM"
"C5",193.94986625073,250,46.642209146006,0.00312703052607337,"G","NTPCM"
"C6",193.94986625073,200,46.9061874107207,0.00312445139114503,"G","NTPCM"
"C7",193.94986625073,150,46.6398925583083,0.00312705317857308,"G","NTPCM"
"C8",193.94986625073,100,47.2206770234234,0.0031213842955012,"G","NTPCM"
"C9",193.94986625073,50,47.6968645999099,0.00311675166670861,"G","NTPCM"
"A1",202.833472670699,1000,41.7816747747247,0.00317529191281034,"H","NTPCM"
"A2",202.833472670699,800,42.151282118979,0.00317156972302653,"H","NTPCM"
"A3",202.833472670699,600,41.5687539113514,0.00317744013526971,"H","NTPCM"
"A4",202.833472670699,400,39.5095388383784,0.00319836715590157,"H","NTPCM"
"A5",202.833472670699,250,39.4619301978679,0.00319885424515645,"H","NTPCM"
"A6",202.833472670699,200,39.3035472151952,0.00320047574723571,"H","NTPCM"
"A7",202.833472670699,150,39.1456771512613,0.00320209363485889,"H","NTPCM"
"A8",202.833472670699,100,39.515218226046,0.00319830905936277,"H","NTPCM"
"B1",202.833472670699,1000,42.0456800206206,0.00317263231505768,"H","NTPCM"
"B2",202.833472670699,800,41.8872768730831,0.00317422753880286,"H","NTPCM"
"B3",202.833472670699,600,41.4103527518919,0.00317904017862272,"H","NTPCM"
"B4",202.833472670699,400,40.4599457951351,0.00318867438168956,"H","NTPCM"
"B5",202.833472670699,250,38.9867812498498,0.00320372368804415,"H","NTPCM"
"B6",202.833472670699,200,38.5644266293894,0.00320806454424691,"H","NTPCM"
"B7",202.833472670699,150,39.040093987037,0.00320317658779245,"H","NTPCM"
"B8",202.833472670699,100,38.9345108228128,0.00320426027348648,"H","NTPCM"
"C1",202.833472670699,1000,41.9928789714414,0.00317316387812342,"H","NTPCM"
