#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
6.01388 67243.8 790.961
6.02199 66816.3 788.507
6.03011 66388.3 786.05
6.03822 65960.7 783.595
6.04633 65533.2 781.141
6.05445 65105.2 778.684
6.06256 64677.6 776.229
6.07067 64250.1 773.775
6.07879 63822.1 771.318
6.0869 63394.6 768.863
6.09502 62966.5 766.406
6.10313 62551.6 762.913
6.11124 62156.8 757.767
6.11936 61761.4 752.615
6.12747 61366.6 747.469
6.13558 60971.8 742.323
6.1437 60576.4 737.17
